RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  152  157     0     0  con    0  1.0D+00  1.1D+00  8.227D-03  1.285D+01
  153  158     0     0  con    0  1.0D+00  1.7D+00  1.648D-02  1.283D+01
  154  159     0     0  con    0  1.0D+00  1.0D+00  8.228D-03  1.282D+01
  155  160     0     0  con    0  1.0D+00  3.6D-01  6.347D-03  1.281D+01
  156  161     0     0  con    0  1.0D+00  4.9D-01  4.322D-03  1.280D+01
  157  162     0     0  con    0  1.0D+00  9.6D-01  6.733D-03  1.279D+01
  158  163     0     0  con    0  1.0D+00  1.0D+00  6.752D-03  1.278D+01
  159  164     0     0  con    0  1.0D+00  2.1D+00  1.543D-02  1.277D+01
  160  165     0     0  con    0  1.0D+00  7.2D-01  7.222D-03  1.275D+01
  161  166     0     0  con    0  1.0D+00  4.8D-01  7.050D-03  1.275D+01
  162  167     0     0  con    0  1.0D+00  9.1D-01  7.666D-03  1.274D+01
  163  168     0     0  con    0  1.0D+00  8.1D-01  1.288D-02  1.273D+01
  164  169     0     0  con    0  1.0D+00  5.3D-01  8.690D-03  1.272D+01
  165  170     0     0  con    0  1.0D+00  1.7D+00  6.243D-03  1.270D+01
  166  171     0     0  con    0  1.0D+00  8.7D-01  1.349D-02  1.270D+01
  167  172     0     0  con    0  1.0D+00  3.3D-01  6.518D-03  1.269D+01
  168  173     0     0  con    0  1.0D+00  5.4D-01  7.097D-03  1.268D+01
  169  174     0     0  con    0  1.0D+00  1.2D+00  8.799D-03  1.267D+01
  170  175     0     0  con    0  1.0D+00  1.1D+00  1.038D-02  1.266D+01
  171  176     0     0  con    0  1.0D+00  1.2D+00  7.597D-03  1.265D+01
  172  177     0     0  con    0  1.0D+00  8.1D-01  3.717D-03  1.264D+01
  173  178     0     0  con    0  1.0D+00  8.1D-01  8.130D-03  1.263D+01
